S.No.,Date,Consumption in tons
1,4/5/2016,147.17
2,4/12/2016,42.55
3,4/19/2016,297.80
4,4/26/2016,290.37
5,5/3/2016,105.63
6,5/10/2016,243.87
7,5/17/2016,167.67
8,5/24/2016,314.90
9,5/31/2016,108.39
10,6/7/2016,293.50
11,6/14/2016,372.07
12,6/21/2016,302.25
13,6/28/2016,235.67
14,7/5/2016,204.05
15,7/12/2016,147.90
16,7/19/2016,565.68
17,7/26/2016,486.12
18,8/2/2016,255.19
19,8/9/2016,295.22
20,8/16/2016,157.02
21,8/23/2016,349.05
22,8/30/2016,260.23
23,9/6/2016,228.16
24,9/13/2016,117.87
25,9/20/2016,112.19
26,9/27/2016,248.50
27,10/4/2016,367.33
28,10/11/2016,277.20
29,10/18/2016,339.30
30,10/25/2016,32.22
31,11/1/2016,139.16
32,11/8/2016,166.46
33,11/15/2016,146.03
34,11/22/2016,262.28
35,11/29/2016,83.98
36,12/6/2016,186.48
37,12/13/2016,209.93
38,12/20/2016,60.01
39,12/27/2016,155.42
40,1/3/2017,219.91
41,1/10/2017,206.31
42,1/17/2017,94.83
43,1/24/2017,112.54
44,1/31/2017,94.58
45,2/7/2017,90.39
46,2/14/2017,141.69
47,2/21/2017,17.36
48,2/28/2017,198.21
49,3/7/2017,75.91
50,3/14/2017,117.94
51,3/21/2017,84.63
52,3/28/2017,119.60
53,4/4/2017,139.11
54,4/11/2017,104.35
55,4/18/2017,106.90
56,4/25/2017,257.93
57,5/2/2017,148.05
58,5/9/2017,217.21
59,5/16/2017,379.22
60,5/23/2017,256.19
61,5/30/2017,222.30
62,6/6/2017,482.82
63,6/13/2017,311.92
64,6/20/2017,145.55
65,6/27/2017,164.11
66,7/4/2017,509.73
67,7/11/2017,385.63
68,7/18/2017,425.43
69,7/25/2017,256.44
70,8/1/2017,185.80
71,8/8/2017,249.82
72,8/15/2017,378.03
73,8/22/2017,187.50
74,8/29/2017,134.22
75,9/5/2017,252.04
76,9/12/2017,192.66
77,9/19/2017,173.82
78,9/26/2017,187.53
79,10/3/2017,153.81
80,10/10/2017,55.17
81,10/17/2017,204.91
82,10/24/2017,104.85
83,10/31/2017,157.89
84,11/7/2017,221.06
85,11/14/2017,228.17
86,11/21/2017,193.85
87,11/28/2017,90.40
88,12/5/2017,205.84
89,12/12/2017,369.98
90,12/19/2017,327.83
91,12/26/2017,114.52
92,1/2/2018,224.05
93,1/9/2018,204.77
94,1/16/2018,201.46
95,1/23/2018,123.92
96,1/30/2018,111.96
97,2/6/2018,212.98
98,2/13/2018,158.17
99,2/20/2018,69.20
100,2/27/2018,44.32
101,3/6/2018,126.04
102,3/13/2018,78.12
103,3/20/2018,140.00
